N,U_value,para_repeat_times,S,final_energy_ratio,final_fidelity,length,epoch
8,8,10,0,0.8185789363046291,0.0019089813756626296,150,220
8,8,20,0,0.9895095149060951,0.9846013837584642,300,332
8,8,30,0,0.9968283915833298,0.9937909097736103,450,491
8,8,40,0,0.9991158552646858,0.9992490712591812,600,556
8,8,50,0,0.9994115059133589,0.9994646308871639,750,564
8,8,80,0,0.999722751662973,0.9996423878494562,1200,501
8,8,60,0,0.9995902709251396,0.9996369039034455,900,642
8,8,100,0,0.9998509615785102,0.999870567236812,1500,739
8,8,80,1,0.9995402951146658,0.9996327367067354,1200,541
8,8,20,1,0.9903273387886593,0.9532299686609143,300,595
8,8,40,1,0.9951403595867686,0.9868495722967892,600,1438
8,8,100,1,0.9995696796210765,0.9996901291546924,1500,687
8,8,60,1,0.9991707916636984,0.9991584243110506,900,680
8,8,20,2,0.9944274466465574,0.9888913384963225,300,444
8,8,40,2,0.9994621496878259,0.9994824237379343,600,387
8,8,80,2,0.9998123458347588,0.9998756759365759,1200,389
8,8,60,2,0.9996933320063358,0.9997372523159604,900,538
8,8,100,2,0.999901455410314,0.9999217957442159,1500,395
8,8,10,3,0.9999366489729175,0.9999738415049706,150,79
8,8,20,3,0.9999997428189766,0.9999998128146824,300,17
