N,U_value,para_repeat_times,S,final_energy_ratio,final_fidelity,length,epoch
8,8,60,0,0.9999968391341543,0.9999986352005656,900,139
8,8,10,0,0.9071969360634355,0.8055327621191892,150,311
8,8,20,0,0.9999759426661969,0.9999942243640747,300,1140
8,8,30,0,0.9999921634092299,0.9999969701416016,450,232
8,8,20,1,0.9551571857286039,0.827297990487018,300,482
8,8,40,1,0.9988435243917867,0.9994976906703517,600,772
8,8,80,1,0.9999307099254696,0.9999769647920878,1200,527
8,8,60,1,0.9989957001153321,0.9996574503045966,900,956
8,8,10,2,0.7605842603886275,0.44733356200193924,150,250
8,8,20,2,0.9740083456250583,0.9780870714035684,300,382
8,8,40,2,0.9998978930212981,0.9999619441286902,600,407
8,8,20,3,0.9999999631081081,0.9999999767976687,300,17
8,8,10,3,0.9998895764535674,0.9999546090080679,150,116
